request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,427.92,affordable_later,wait,2024-07-19:1302.4,2024-07-19,none,"Wait until 2024-07-19 to pay EUR 1,302.4 in full. Current safe amount is EUR 427.92. Balance will be sufficient after upcoming income clears."
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,5622969.36,affordable_later,wait,2024-09-15:18164000.0,2024-09-15,none,"Wait until 2024-09-15 to pay IDR 18,164,000 in full. Current safe amount is IDR 5,622,969.36. Balance will be sufficient after upcoming income clears."
request_32,23199.0,affordable_later,wait,2025-02-15:40018.0,2025-02-15,none,"Wait until 2025-02-15 to pay ZAR 40,018 in full. Current safe amount is ZAR 23,199. Balance will be sufficient after upcoming income clears."
request_33,51705.73,affordable_later,wait,2026-01-14:118000.0,2026-01-14,none,"Wait until 2026-01-14 to pay INR 118,000 in full. Current safe amount is INR 51,705.73. Balance will be sufficient after upcoming income clears."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,55336.78,affordable_later,wait,2025-12-17:212000.0,2025-12-17,none,"Wait until 2025-12-17 to pay INR 212,000 in full. Current safe amount is INR 55,336.78. Balance will be sufficient after upcoming income clears."
request_36,921.75,affordable_later,wait,2026-08-14:3954.0,2026-08-14,none,"Wait until 2026-08-14 to pay USD 3,954 in full. Current safe amount is USD 921.75. Balance will be sufficient after upcoming income clears."
request_37,6820153.1,affordable_later,wait,2024-03-22:14649000.0,2024-03-22,none,"Wait until 2024-03-22 to pay IDR 14,649,000 in full. Current safe amount is IDR 6,820,153.1. Balance will be sufficient after upcoming income clears."
request_38,254.02,affordable_later,wait,2025-08-30:971.3,2025-08-30,none,Wait until 2025-08-30 to pay EUR 971.3 in full. Current safe amount is EUR 254.02. Balance will be sufficient after upcoming income clears.
request_39,162675.46,affordable_later,wait,2026-04-14:208600.0,2026-04-14,none,"Wait until 2026-04-14 to pay INR 208,600 in full. Current safe amount is INR 162,675.46. Balance will be sufficient after upcoming income clears."
request_40,540.0,affordable_later,wait,2024-06-14:1290.3,2024-06-14,none,"Wait until 2024-06-14 to pay EUR 1,290.3 in full. Current safe amount is EUR 540. Balance will be sufficient after upcoming income clears."
request_41,13799523.41,affordable_later,wait,2025-11-14:38760000.0,2025-11-14,none,"Wait until 2025-11-14 to pay IDR 38,760,000 in full. Current safe amount is IDR 13,799,523.41. Balance will be sufficient after upcoming income clears."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100.0,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9868266.98,affordable_later,wait,2024-10-14:43339000.0,2024-10-14,none,"Wait until 2024-10-14 to pay IDR 43,339,000 in full. Current safe amount is IDR 9,868,266.98. Balance will be sufficient after upcoming income clears."
